1 0 1.90734863281e-06 2.86102294922e-06
2 1 9.53674316406e-07 2.14576721191e-06
4 2 9.53674316406e-07 1.90734863281e-06
8 3 9.53674316406e-07 2.14576721191e-06
16 4 9.53674316406e-07 2.14576721191e-06
32 5 9.53674316406e-07 1.19209289551e-06
64 6 1.90734863281e-06 2.14576721191e-06
128 7 4.05311584473e-06 1.90734863281e-06
256 8 6.91413879395e-06 2.14576721191e-06
512 9 2.28881835938e-05 4.05311584473e-06
1024 10 2.40802764893e-05 3.09944152832e-06
2048 11 4.72068786621e-05 2.86102294922e-06
4096 12 9.29832458496e-05 3.09944152832e-06
8192 13 0.000187873840332 3.09944152832e-06
16384 14 0.000385999679565 5.00679016113e-06
32768 15 0.00126099586487 1.28746032715e-05
65536 16 0.00225496292114 9.77516174316e-06
131072 17 0.00515198707581 2.50339508057e-05
262144 18 0.00915193557739 2.09808349609e-05
524288 19 0.0178790092468 2.19345092773e-05
1048576 20 0.0350489616394 2.40802764893e-05
2097152 21 0.0703039169312 2.69412994385e-05
4194304 22 0.13770198822 2.78949737549e-05
8388608 23 0.275171995163 3.09944152832e-05
16777216 24 0.550648927689 3.09944152832e-05
